Price,Built_Up,Furnishing,Tenure,carpark,classification
205000,720,Semi Furnished,Freehold,1,1
227000,812,Unfurnished,Freehold,1,0
450000,1100,Unfurnished,Freehold,2,1
300000,800,Unfurnished,Freehold,1,1
430000,1080,Semi Furnished,Freehold,2,1
350000,1000,Unfurnished,Freehold,2,1
220000,1400,Unfurnished,Freehold,2,1
760000,2188,Semi Furnished,Freehold,2,1
365000,850,Unfurnished,Freehold,1,1
619000,2030,Unfurnished,Freehold,2,1
168000,500,Unfurnished,Freehold,1,1
550000,1800,Semi Furnished,Freehold,2,0
690000,1778,Unfurnished,Freehold,2,1
320000,1121,Unfurnished,Freehold,1,1
915000,915,Fully Furnished,Freehold,1,1
700000,3000,Semi Furnished,Freehold,2,1
430000,1288,Semi Furnished,Freehold,1,1
455000,1500,Unfurnished,Freehold,2,1
310000,1400,Unfurnished,Freehold,2,1
230000,650,Semi Furnished,Freehold,1,1
390000,1100,Fully Furnished,Freehold,0,1
655000,1474,Unfurnished,Freehold,2,1
460000,1170,Unfurnished,Freehold,2,1
320000,967,Semi Furnished,Freehold,1,1
280000,853,Semi Furnished,Freehold,1,1
285000,813,Unfurnished,Freehold,1,1
530000,1089,Fully Furnished,Freehold,1,1
888000,1715,Unfurnished,Freehold,1,1
950000,950,Fully Furnished,Freehold,1,1
345000,557,Semi Furnished,Freehold,1,1
650000,1050,Fully Furnished,Freehold,1,1
600000,2480,Semi Furnished,Freehold,2,1
1100000,3200,Semi Furnished,Freehold,2,1
580000,3000,Semi Furnished,Freehold,2,1
300000,2625,Unfurnished,Freehold,2,1
425000,1149,Fully Furnished,Freehold,1,0
323000,861,Semi Furnished,Freehold,1,1
170000,600,Semi Furnished,Freehold,1,1
390800,1287,Unfurnished,Freehold,2,1
703000,500,Fully Furnished,Freehold,1,0
199000,735,Semi Furnished,Freehold,1,1
1100000,1927,Fully Furnished,Freehold,1,1
1680000,2200,Semi Furnished,Freehold,2,1
525000,850,Semi Furnished,Freehold,1,1
210000,850,Semi Furnished,Freehold,1,1
1081814,725,Unfurnished,Freehold,1,1
759000,880,Semi Furnished,Freehold,1,1
199000,735,Semi Furnished,Freehold,1,1
158000,700,Semi Furnished,Freehold,1,0
470000,1400,Semi Furnished,Freehold,2,1
1600000,1838,Semi Furnished,Leasehold,1,1
324000,1180,Unfurnished,Freehold,1,0
798800,958,Semi Furnished,Freehold,1,1
1390000,3000,Unfurnished,Freehold,2,1
465000,1018,Unfurnished,Freehold,1,1
1590000,3000,Unfurnished,Freehold,2,1
500000,1600,Semi Furnished,Freehold,1,1
320000,1300,Unfurnished,Freehold,2,1
1500000,1799,Semi Furnished,Freehold,1,1
598000,1135,Fully Furnished,Freehold,1,1
599000,1760,Semi Furnished,Freehold,2,1
1150000,1148,Fully Furnished,Freehold,1,1
450000,1052,Semi Furnished,Leasehold,1,1
349000,754,Fully Furnished,Freehold,1,1
443000,1058,Unfurnished,Freehold,1,1
506000,915,Semi Furnished,Freehold,1,1
175000,753,Unfurnished,Freehold,1,1
500000,1400,Semi Furnished,Freehold,2,1
349000,1200,Fully Furnished,Freehold,1,1
535000,1547,Semi Furnished,Freehold,2,1
385000,950,Fully Furnished,Leasehold,1,1
490000,1150,Unfurnished,Freehold,2,1
680000,1344,Semi Furnished,Leasehold,1,1
550000,624,Semi Furnished,Freehold,1,1
