Price,Tenure,Property_Type,Built_Up,Furnishing,Bedroom,Bathroom,Area,classification
205000,0,3,720,1,3,2,14,0
227000,0,4,812,2,3,2,13,1
450000,0,6,1100,2,4,3,13,0
300000,0,9,800,2,3,2,14,0
430000,0,6,1080,1,3,2,13,0
350000,0,6,1000,2,3,2,13,0
220000,0,6,1400,2,3,2,7,0
760000,0,6,2188,1,4,3,13,0
365000,0,4,850,2,3,2,13,0
619000,0,10,2030,2,4,4,13,0
168000,0,3,500,2,2,1,10,0
550000,0,6,1800,1,4,3,13,1
690000,0,6,1778,2,4,3,13,0
320000,0,3,1121,2,3,2,13,0
915000,0,9,915,0,2,2,14,0
700000,0,12,3000,1,3,2,13,0
430000,0,9,1288,1,3,2,13,0
455000,0,6,1500,2,4,3,13,0
310000,0,6,1400,2,3,2,9,0
230000,0,3,650,1,3,2,14,0
655000,0,6,1474,2,4,3,13,0
460000,0,6,1170,2,4,3,13,0
320000,0,9,967,1,3,2,14,0
280000,0,3,853,1,3,2,13,0
285000,0,3,813,2,3,2,13,0
530000,0,9,1089,0,3,2,14,0
888000,0,9,1715,2,4,2,10,0
950000,0,9,950,0,3,2,14,0
345000,0,4,557,1,3,2,13,0
650000,0,9,1050,0,3,2,10,0
600000,0,6,2480,1,4,4,13,0
1100000,0,10,3200,1,5,4,13,0
580000,0,10,3000,1,4,3,9,0
300000,0,6,2625,2,4,4,13,0
425000,0,9,1149,0,3,2,13,1
323000,0,3,861,1,3,2,13,0
170000,0,3,600,1,3,1,10,0
390800,0,2,1287,2,3,2,13,0
703000,0,9,500,0,2,1,3,1
199000,0,9,735,1,3,2,13,0
1100000,0,9,1927,0,4,4,14,0
1680000,0,10,2200,1,4,4,13,0
525000,0,9,850,1,2,2,13,0
210000,0,3,850,1,3,2,13,0
1081814,0,9,725,2,2,2,14,0
759000,0,4,880,1,4,2,13,0
199000,0,9,735,1,3,2,13,0
158000,0,3,700,1,3,2,13,1
470000,0,6,1400,1,4,3,14,0
1600000,1,9,1838,1,3,4,13,0
324000,0,4,1180,2,4,3,13,1
798800,0,9,958,1,3,2,13,0
1390000,0,8,3000,2,5,4,13,0
465000,0,9,1018,2,3,2,14,0
1590000,0,6,3000,2,5,4,14,0
500000,0,9,1600,1,4,3,14,0
320000,0,6,1300,2,3,2,13,0
1500000,0,9,1799,1,4,3,13,0
598000,0,9,1135,0,3,2,14,0
599000,0,6,1760,1,4,3,13,0
1150000,0,9,1148,0,2,2,14,0
450000,1,9,1052,1,3,2,14,0
349000,0,9,754,0,2,2,9,0
443000,0,9,1058,2,3,2,13,0
506000,0,9,915,1,3,2,13,0
175000,0,3,753,2,2,1,13,0
500000,0,6,1400,1,4,3,13,0
349000,0,9,1200,0,3,2,14,0
535000,0,6,1547,1,4,3,13,0
385000,1,9,950,0,2,2,14,0
490000,0,10,1150,2,3,2,13,0
680000,1,9,1344,1,3,2,13,0
550000,0,4,624,1,2,1,13,0
1386000,0,9,2368,1,4,3,14,0
550000,0,10,1408,1,4,3,13,0
580000,0,6,1200,0,4,3,13,0
530000,1,9,1044,2,3,2,14,0
390000,0,3,1057,1,4,2,13,0
690000,0,9,1403,1,3,2,14,0
820000,1,9,820,2,2,2,13,0
320000,0,6,1400,1,3,2,9,0
530000,0,6,1701,2,4,3,11,0
1477250,0,9,1555,0,3,2,14,0
570000,1,6,1800,1,4,3,13,0
275000,0,3,879,2,3,2,13,0
570000,0,9,1205,1,3,2,14,0
390000,0,3,1057,2,3,2,13,0
490000,0,9,1058,2,3,2,13,0
485000,1,9,1207,1,4,2,14,0
199000,0,9,735,1,3,2,9,0
950000,0,9,1400,0,3,3,14,0
665000,0,9,935,2,3,2,13,0
460000,0,6,1800,2,4,3,13,0
280000,0,9,1030,2,3,2,14,1
350000,0,9,913,0,3,2,13,0
360000,0,3,985,1,3,2,13,0
310000,0,3,764,2,3,2,9,0
615000,0,9,1232,1,3,1,14,0
598000,0,6,1500,2,4,3,13,0
505000,0,9,1300,0,4,2,14,0
280000,0,3,926,0,3,2,13,0
803000,0,6,2300,1,4,3,13,1
828000,0,6,2048,2,4,3,13,0
380000,0,9,1023,1,3,2,13,0
260000,0,3,913,2,3,2,13,0
740000,0,7,1647,2,4,3,13,0
250000,0,3,947,2,3,2,13,0
860000,0,6,1250,1,4,3,13,0
590000,0,9,914,1,3,2,14,0
830000,1,6,1400,1,5,4,14,0
980000,0,6,2600,1,4,3,13,0
620000,0,9,1205,1,3,2,14,0
1400000,0,9,2357,1,4,4,14,0
420000,0,9,915,1,3,2,13,0
1125000,1,10,2820,2,5,3,13,0
499000,0,6,910,1,2,2,13,0
353000,0,9,1919,1,5,4,13,0
891000,0,9,1211,1,2,2,14,1
680000,0,9,1450,0,3,3,10,0
549900,0,9,1376,0,3,3,14,0
265000,0,3,870,1,3,2,13,0
650000,1,6,2200,1,4,3,13,0
473000,0,6,1899,2,4,3,13,0
385000,1,9,950,0,2,2,14,0
390000,0,3,1061,1,3,2,14,0
580000,0,6,1600,2,3,2,13,1
210000,0,9,852,1,3,2,13,0
