Price,Built_Up,Furnishing,Tenure,carpark,classification
205000,720,1,0,1,1
227000,812,2,0,1,0
450000,1100,2,0,2,1
300000,800,2,0,1,1
430000,1080,1,0,2,1
350000,1000,2,0,2,1
220000,1400,2,0,2,1
760000,2188,1,0,2,1
365000,850,2,0,1,1
619000,2030,2,0,2,1
168000,500,2,0,1,1
550000,1800,1,0,2,0
690000,1778,2,0,2,1
320000,1121,2,0,1,1
915000,915,0,0,1,1
700000,3000,1,0,2,1
430000,1288,1,0,1,1
455000,1500,2,0,2,1
310000,1400,2,0,2,1
230000,650,1,0,1,1
390000,1100,0,0,0,1
655000,1474,2,0,2,1
460000,1170,2,0,2,1
320000,967,1,0,1,1
280000,853,1,0,1,1
285000,813,2,0,1,1
530000,1089,0,0,1,1
888000,1715,2,0,1,1
950000,950,0,0,1,1
345000,557,1,0,1,1
650000,1050,0,0,1,1
600000,2480,1,0,2,1
1100000,3200,1,0,2,1
580000,3000,1,0,2,1
300000,2625,2,0,2,1
425000,1149,0,0,1,0
323000,861,1,0,1,1
170000,600,1,0,1,1
390800,1287,2,0,2,1
703000,500,0,0,1,0
199000,735,1,0,1,1
1100000,1927,0,0,1,1
1680000,2200,1,0,2,1
525000,850,1,0,1,1
210000,850,1,0,1,1
1081814,725,2,0,1,1
759000,880,1,0,1,1
199000,735,1,0,1,1
158000,700,1,0,1,0
470000,1400,1,0,2,1
1600000,1838,1,1,1,1
324000,1180,2,0,1,0
798800,958,1,0,1,1
1390000,3000,2,0,2,1
465000,1018,2,0,1,1
1590000,3000,2,0,2,1
500000,1600,1,0,1,1
320000,1300,2,0,2,1
1500000,1799,1,0,1,1
598000,1135,0,0,1,1
599000,1760,1,0,2,1
1150000,1148,0,0,1,1
450000,1052,1,1,1,1
349000,754,0,0,1,1
443000,1058,2,0,1,1
506000,915,1,0,1,1
175000,753,2,0,1,1
500000,1400,1,0,2,1
349000,1200,0,0,1,1
535000,1547,1,0,2,1
385000,950,0,1,1,1
490000,1150,2,0,2,1
680000,1344,1,1,1,1
550000,624,1,0,1,1
1386000,2368,1,0,1,1
550000,1408,1,0,2,1
580000,1200,0,0,2,1
530000,1044,2,1,1,1
390000,1057,1,0,1,1
690000,1403,1,0,1,1
820000,820,2,1,1,1
320000,1400,1,0,2,1
530000,1701,2,0,2,1
1477250,1555,0,0,1,1
570000,1800,1,1,2,1
275000,879,2,0,1,1
570000,1205,1,0,1,1
390000,1057,2,0,1,1
490000,1058,2,0,1,1
485000,1207,1,1,1,1
199000,735,1,0,1,1
950000,1400,0,0,1,1
665000,935,2,0,1,1
460000,1800,2,0,2,1
280000,1030,2,0,1,0
350000,913,0,0,1,1
360000,985,1,0,1,1
310000,764,2,0,1,1
615000,1232,1,0,1,1
598000,1500,2,0,2,1
505000,1300,0,0,1,1
280000,926,0,0,1,1
803000,2300,1,0,2,0
828000,2048,2,0,2,1
380000,1023,1,0,1,1
260000,913,2,0,1,1
740000,1647,2,0,1,1
250000,947,2,0,1,1
860000,1250,1,0,2,1
590000,914,1,0,1,1
830000,1400,1,1,2,1
980000,2600,1,0,2,1
620000,1205,1,0,1,1
1400000,2357,1,0,1,1
420000,915,1,0,1,1
1125000,2820,2,1,2,1
499000,910,1,0,2,1
353000,1919,1,0,1,1
891000,1211,1,0,1,0
680000,1450,0,0,1,1
549900,1376,0,0,1,1
265000,870,1,0,1,1
650000,2200,1,1,2,1
473000,1899,2,0,2,1
385000,950,0,1,1,1
390000,1061,1,0,1,1
580000,1600,2,0,2,0
210000,852,1,0,1,1
510000,1560,1,0,1,1
1250000,1701,0,0,1,0
600000,850,0,0,1,1
650000,1300,0,0,1,1
778800,708,0,0,1,1
375000,1400,2,0,2,1
469000,1900,2,0,2,1
215000,635,1,1,1,1
520000,1400,1,0,2,1
740000,1600,2,0,2,1
345000,797,0,0,1,1
318400,663,2,1,1,1
860000,1937,0,0,1,0
1400000,2500,1,0,2,1
378000,1000,0,0,1,1
900000,1280,0,0,1,1
505000,1032,1,0,1,1
370000,750,2,1,2,1
1080000,1367,1,0,1,1
597900,1589,1,0,1,1
600000,1820,2,0,2,1
1100000,875,1,0,1,1
335000,1300,1,0,2,1
580000,2300,2,0,2,1
440000,880,1,0,2,1
640000,1350,2,0,2,1
725000,2222,1,0,2,1
368000,1000,1,0,2,1
449000,1076,1,0,1,1
750000,2800,2,0,2,1
380000,1240,1,0,1,1
1100000,2000,1,0,2,1
489888,3989,0,0,2,1
276000,700,2,0,1,1
550000,1400,2,0,2,1
468000,1366,1,0,1,1
568000,2000,1,1,2,1
360000,896,1,0,1,1
560000,1069,0,0,1,1
1098000,2907,1,0,2,1
1100000,1800,2,0,2,1
545000,1345,1,0,1,1
574000,687,1,0,1,1
220000,778,2,0,1,1
1495000,2098,0,0,1,1
288000,700,2,0,1,1
880000,2700,0,0,2,1
185000,652,1,0,1,1
580000,1800,2,0,2,1
637800,1029,1,0,1,1
485000,1400,1,0,2,1
880000,2640,1,0,2,1
388000,1300,2,0,2,0
280000,808,1,0,1,1
865000,2540,2,0,2,1
275000,780,1,0,1,1
